Reaction,N,C,SubS,Solvent,H-X-CNu,AverageL2,exp-ee,iminium,solvent,catalyst,nucleophile,
311,-0.426,0.487,-0.697,3,114,4.71,-2.44,iminium-1-E,benzene,"2,4,6-i PrC6H2","2-phenyl-2,3-dihydro-1,3-benzothiazole",
313,-0.447,0.477,-0.690,3,114,4.71,-2.13,iminium-2-E,benzene,"2,4,6-i PrC6H2","2-phenyl-2,3-dihydro-1,3-benzothiazole",
318,-0.446,0.475,-0.691,3,114,4.71,-2.44,iminium-7-E,benzene,"2,4,6-i PrC6H2","2-phenyl-2,3-dihydro-1,3-benzothiazole",
320,-0.458,0.491,-0.693,3,114,4.71,-2.27,iminium-9-E,benzene,"2,4,6-i PrC6H2","2-phenyl-2,3-dihydro-1,3-benzothiazole",
319,-0.457,0.492,-0.693,3,114,4.71,-2.44,iminium-8-E,benzene,"2,4,6-i PrC6H2","2-phenyl-2,3-dihydro-1,3-benzothiazole",
323,-0.438,0.505,-0.489,3,114,4.71,-0.97,iminium-12-E,benzene,"2,4,6-i PrC6H2","2-phenyl-2,3-dihydro-1,3-benzothiazole",
333,-0.446,0.489,-0.485,3,114,4.71,-1.74,iminium-47-E,benzene,"2,4,6-i PrC6H2","2-(2-naphthyl)-2,3-dihydro-1,3-benzothiazole",
326,-0.433,0.476,-0.483,3,114,4.71,-2.72,iminium-45-E,benzene,"2,4,6-i PrC6H2","2-(2-naphthyl)-2,3-dihydro-1,3-benzothiazole",
328,-0.433,0.476,-0.483,3,114,4.71,-1.03,iminium-45-E,benzene,"2,4,6-i PrC6H2","2-(4-hydroxyphenyl)-2,3-dihydro-1,3-benzothiazole",
330,-0.433,0.476,-0.483,3,114,4.71,-1.45,iminium-45-E,benzene,"2,4,6-i PrC6H2","2-(4-(trifluoromethyl)phenyl)-2,3-dihydro-1,3-benzothiazole",
347,-0.433,0.476,-0.483,3,180,4.71,-0.7,iminium-45-E,benzene,"2,4,6-i PrC6H3","Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
332,-0.445,0.490,-0.485,3,114,4.71,-2.17,iminium-46-E,benzene,"2,4,6-i PrC6H2","2-(2-naphthyl)-2,3-dihydro-1,3-benzothiazole",
334,-0.440,0.476,-0.482,3,114,4.71,-2.06,iminium-48-E,benzene,"2,4,6-i PrC6H2","2-(2-naphthyl)-2,3-dihydro-1,3-benzothiazole",
339,-0.427,0.473,-0.481,3,114,4.71,-2.3,iminium-53-E,benzene,"2,4,6-i PrC6H2","2-(2-naphthyl)-2,3-dihydro-1,3-benzothiazole",
338,-0.435,0.463,-0.478,3,114,4.71,-1.63,iminium-52-E,benzene,"2,4,6-i PrC6H2","2-(2-naphthyl)-2,3-dihydro-1,3-benzothiazole",
335,-0.451,0.468,-0.481,3,114,4.71,-2.06,iminium-49-E,benzene,"2,4,6-i PrC6H2","2-(2-naphthyl)-2,3-dihydro-1,3-benzothiazole",
345,-0.419,0.466,-0.481,3,114,4.71,-1.96,iminium-59-E,benzene,"2,4,6-i PrC6H2","2-(2-naphthyl)-2,3-dihydro-1,3-benzothiazole",
252,-0.450,0.467,-0.690,3,180,2.58,-1.1,iminium-37-E,benzene,"3,5-(CF3)C6H3","Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
351,-0.451,0.468,-0.481,3,180,4.71,-0.42,iminium-49-E,benzene,"2,4,6-i PrC6H7","Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
352,-0.441,0.471,-0.481,3,180,4.71,-0.38,iminium-50-E,benzene,"2,4,6-i PrC6H8","Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
21,-0.533,0.306,0.255,2.583,180,9.12,0.37,iminium-87-E,ether,9-anthryl,PhSH,
